title	artist	release	bpm	energy	danceability	loud	valence	length	acoustic	popularity	style
Majesty (with Labrinth & feat. Eminem)	Nicki Minaj	10/08/18	157	73	81	-5	57	04:56	31	78	VIRAL
Better	Chantel Jeffries	10/08/18	120	50	81	-6	72	03:14	66	70	VIRAL
Magic In The Hamptons (feat. Lil Yachty)	Social House	8/06/18	96	48	77	-5	80	02:45	66	85	VIRAL
Mala Mía	Maluma	10/08/18	180	75	75	-5	90	03:04	31	91	VIRAL
Fine China	Future	15/10/18	166	54	66	-7	55	02:22	5	80	RAP
Never Recover (Lil Baby & Gunna, Drake)	Lil Baby	5/10/18	132	69	76	-5	91	03:15	7	89	RAP
Get Dripped (feat. Playboi Carti)	Lil Yachty	19/10/18	130	49	96	-8	90	02:39	10	69	RAP
ZEZE (feat. Travis Scott & Offset)	Kodak Black	12/10/18	98	62	83	-8	54	03:45	7	92	RAP
Hard Work Pays Off	Future	19/10/18	140	48	74	-8	61	03:45	33	69	RAP
Noticed	Lil Mosey	20/07/18	80	56	70	-8	49	02:45	46	91	RAP
SICKO MODE	Travis Scott	3/08/18	155	73	83	-4	45	05:13	1	97	RAP
PASS OUT (feat. 21 Savage)	Quavo	12/10/18	143	79	92	-5	44	03:45	4	85	RAP
Sin (feat. Jaden Smith)	Young Thug	24/09/18	126	39	89	-12	24	03:23	1	85	RAP
Drip Too Hard	Lil Baby	12/09/18	113	65	90	-7	40	02:26	9	91	RAP
Mo Bamba	Sheck Wes	19/09/17	146	63	74	-5	32	03:01	27	90	RAP
STOOPID	6ix9ine	5/10/18	150	63	73	-4	83	02:32	13	90	RAP
No Stylist	French Montana	20/09/18	147	70	77	-5	50	03:12	2	91	RAP
Leave Me Alone	Flipp Dinero	14/03/18	150	74	79	-3	74	03:16	11	68	RAP
REEL IT IN	Aminé	15/08/18	129	34	75	-9	42	02:01	7	87	RAP
LOSE IT (feat. Lil Baby)	Quavo	12/10/18	125	57	96	-6	73	03:58	2	80	RAP
New Patek	Lil Uzi Vert	18/09/18	145	79	85	-5	72	05:43	4	90	RAP
Wake Up in the Sky	Gucci Mane	14/09/18	143	58	80	-5	37	03:25	0	92	RAP
YOSEMITE	Travis Scott	3/08/18	128	55	79	-7	14	02:30	28	88	RAP
Mona Lisa (feat. Kendrick Lamar)	Lil Wayne	28/09/18	122	69	86	-4	49	05:24	37	92	RAP
Nervous (feat. Lil Baby, Jay Critch & Rich the Kid)	Famous Dex	21/09/18	75	73	68	-7	86	03:50	24	79	RAP
DrIP DrIp Drip (feat. Meek Mill)	Tory Lanez	19/10/18	155	81	71	-5	71	03:50	16	66	RAP
Transformer (feat. Nicki Minaj)	Future	19/10/18	157	62	75	-7	29	03:16	0	69	RAP
Nonstop	Drake	29/06/18	155	41	91	-8	46	03:59	3	65	RAP
I Love It (& Lil Pump)	Kanye West	7/09/18	104	52	90	-8	33	02:08	1	99	RAP
WORKIN ME	Quavo	10/08/18	170	63	79	-4	27	02:50	18	86	RAP
SaintLaurentYSL (feat. Lil Baby)	Lil Yachty	19/10/18	128	30	89	-11	31	02:48	57	66	RAP
Moonlight	XXXTENTACION	16/03/18	128	54	92	-6	71	02:15	56	96	RAP
GOKU	Jaden Smith	5/10/18	140	89	67	-2	32	03:13	23	74	RAP
Lean Wit Me	Juice WRLD	23/05/18	164	65	67	-6	24	02:56	4	89	RAP
Don't Cry (feat. XXXTENTACION)	Lil Wayne	28/09/18	112	71	59	-6	21	04:09	41	90	RAP
Hopeless Romantic (feat. Swae Lee)	Wiz Khalifa	21/06/18	127	49	87	-7	59	03:45	30	76	RAP
Yoppa (with BlocBoy JB)	Lil Mosey	4/10/18	141	50	81	-7	35	02:43	13	73	RAP
STARGAZING	Travis Scott	3/08/18	150	79	49	-4	6	04:31	1	91	RAP
If I'm Lyin, I'm Flyin	Kodak Black	28/09/18	176	62	72	-6	29	02:11	10	83	RAP
Shake It Up	Trippie Redd	10/08/18	156	61	78	-6	40	01:57	13	84	RAP
Mob Ties	Drake	29/06/18	86	57	76	-8	49	03:25	4	60	RAP
Ned Flanders (feat. A$AP Ferg)	MadeinTYO	31/05/18	140	50	94	-6	30	02:41	3	83	RAP
The Flute Song	Russ	17/08/18	138	52	79	-8	34	02:28	21	80	RAP
Multi Millionaire (feat. Lil Uzi Vert)	Lil Pump	5/10/18	146	82	85	-4	70	02:51	3	81	RAP
Let It Fly (feat. Travis Scott)	Lil Wayne	28/09/18	89	82	90	-3	75	03:07	4	88	RAP
Dip	Tyga	18/09/18	100	56	88	-7	38	02:07	2	82	RAP
Lucky You (feat. Joyner Lucas)	Eminem	31/08/18	153	79	88	-5	57	04:05	6	96	RAP
151 Rum	J.I.D	19/09/18	130	86	73	-4	65	02:37	20	77	RAP
Self Care	Mac Miller	3/08/18	142	54	52	-8	18	05:45	37	87	RAP
Taking A Walk	Trippie Redd	6/08/18	81	54	77	-6	34	02:02	68	79	RAP
Murder On My Mind	YNW Melly	3/08/18	115	73	76	-8	74	04:28	14	80	RAP
Chanel (Go Get It) [feat. Gunna & Lil Baby]	Young Thug	17/08/18	140	50	94	-10	46	03:22	0	84	RAP
Nephew (feat. Lil Pump)	Smokepurpp	27/07/18	162	45	79	-7	67	03:23	0	84	RAP
Neighbor (feat. Travis Scott)	Juicy J	26/09/18	140	75	92	-5	80	02:43	1	79	RAP
Better Off Gone	Logan Mize	28/07/17	100	62	67	-7	56	03:02	12	73	COUNTRY
Good Girl	Dustin Lynch	5/05/18	81	70	71	-5	69	03:10	16	76	COUNTRY
Desperate Man	Eric Church	13/07/18	110	80	71	-6	90	03:29	7	73	COUNTRY
Rumor	Lee Brice	3/11/17	141	56	66	-7	60	03:18	75	76	COUNTRY
Caught Up In The Country	Rodney Atkins	23/03/18	124	90	56	-4	64	02:41	1	77	COUNTRY
Make It Sweet	Old Dominion	8/10/18	90	86	54	-4	46	03:06	3	71	COUNTRY
Rich	Maren Morris	17/03/17	75	86	56	-4	85	03:29	4	68	COUNTRY
Beautiful Crazy	Luke Combs	4/05/18	103	40	55	-7	38	03:13	68	58	COUNTRY
Bring It On Over	Billy Currington	19/09/18	100	76	71	-5	82	03:02	0	68	COUNTRY
Break Up in the End	Cole Swindell	23/02/18	86	39	51	-8	27	03:19	46	77	COUNTRY
Speechless	Dan + Shay	18/05/18	136	44	63	-6	42	03:33	33	80	COUNTRY
Lose It	Kane Brown	7/06/18	92	87	55	-5	43	02:59	0	78	COUNTRY
Whiskey Glasses	Morgan Wallen	1/01/16	150	67	61	-4	70	03:54	40	19	COUNTRY
Take It From Me	Jordan Davis	20/10/17	100	89	60	-3	67	02:54	2	57	COUNTRY
Hotel Key	Old Dominion	25/08/17	102	87	76	-5	96	02:47	15	76	COUNTRY
Love Wins	Carrie Underwood	31/08/18	135	87	52	-5	33	03:49	1	71	COUNTRY
Sixteen	Thomas Rhett	8/09/17	107	53	71	-7	42	02:58	1	71	COUNTRY
Good Together	James Barker Band	19/01/18	113	84	64	-6	55	03:20	0	71	COUNTRY
Turnin' Me On	Blake Shelton	3/11/17	111	71	63	-7	28	04:49	31	71	COUNTRY
Simple	Florida Georgia Line	1/06/18	200	89	38	-4	88	03:05	8	62	COUNTRY
Keeping Score (feat. Kelly Clarkson)	Dan + Shay	15/06/18	136	62	57	-4	34	03:40	23	72	COUNTRY
Born to Love You	LANCO	19/01/18	125	90	66	-6	81	03:50	13	77	COUNTRY
Here Tonight	Brett Young	14/09/18	96	78	52	-5	45	03:37	1	74	COUNTRY
Down To The Honkytonk	Jake Owen	7/08/18	82	83	62	-4	95	03:03	16	74	COUNTRY
Heaven	Kane Brown	6/10/17	80	56	68	-7	52	03:00	26	82	COUNTRY
Hangin' On	Chris Young	20/10/17	156	83	43	-5	60	03:05	7	76	COUNTRY
Talk You Out Of It	Florida Georgia Line	6/07/18	120	71	65	-5	55	03:23	60	57	COUNTRY
What Makes You Country	Luke Bryan	8/12/17	160	95	51	-2	80	03:55	1	67	COUNTRY
Night Shift	Jon Pardi	13/05/16	96	76	63	-4	73	02:52	11	74	COUNTRY
Drowns The Whiskey (feat. Miranda Lambert)	Jason Aldean	13/04/18	90	70	55	-5	60	03:22	29	76	COUNTRY
Love That About You	Filmore	29/06/18	182	57	55	-7	53	02:37	5	74	COUNTRY
She Got the Best of Me	Luke Combs	1/06/18	151	91	53	-4	70	03:03	3	79	COUNTRY
Asking For A Friend	Devin Dawson	19/01/18	123	53	71	-8	45	03:59	24	72	COUNTRY
Million Reasons - Recorded at Sound Stage Studios Nashville	Dan + Shay	10/10/18	130	54	60	-6	22	03:14	3	68	COUNTRY
Home With Her	John Gurney	29/06/18	80	61	73	-8	51	02:59	14	69	COUNTRY
I Don't Know About You	Chris Lane	29/06/18	144	81	59	-6	73	03:28	60	35	COUNTRY
Neon Church	Tim McGraw	4/10/18	128	79	47	-5	36	03:33	8	69	COUNTRY
Burning Man	Dierks Bentley	8/06/18	119	81	61	-7	49	03:58	0	74	COUNTRY
Slower	Filmore	2/02/18	99	75	69	-5	91	02:53	11	72	COUNTRY
More	Clare Dunn	18/05/18	184	80	43	-3	56	03:32	49	69	COUNTRY
This Feeling	The Chainsmokers	18/09/18	105	57	57	-8	45	03:18	6	92	COUNTRY
To a T	Ryan Hurd	31/08/18	120	64	69	-6	66	02:59	17	71	COUNTRY
Never Comin Down	Keith Urban	27/04/18	95	82	70	-4	82	03:34	1	70	COUNTRY
Eyes On You	Chase Rice	17/11/17	97	65	61	-7	48	03:02	32	77	COUNTRY
Girl Like You	Jason Aldean	13/04/18	144	88	54	-4	48	03:13	4	71	COUNTRY
Miss Me More	Kelsea Ballerini	3/11/17	96	71	64	-7	47	03:13	1	66	COUNTRY
Best Shot	Jimmie Allen	6/10/17	156	46	63	-9	52	03:15	75	76	COUNTRY
90's Country	Walker Hayes	30/08/18	125	72	74	-6	69	02:52	16	70	COUNTRY
Thought About You	Tim McGraw	4/10/18	121	75	56	-5	28	03:46	24	55	COUNTRY
Drunk Me	Mitchell Tenpenny	23/02/18	86	80	39	-4	39	03:33	20	79	COUNTRY
Prayed for You	Matt Stell	16/03/18	140	68	61	-6	56	03:32	9	67	COUNTRY
One Shot	Hunter Hayes	24/08/18	120	76	69	-5	94	02:31	5	72	COUNTRY
Orange Was the Color of Her Dress, Then Blue Silk - Edit	Charles Mingus	19/10/18	91	23	32	-16	30	05:00	91	39	JAZZ
Take Five	The Dave Brubeck Quartet	1959	174	26	45	-13	60	05:24	54	65	JAZZ
Coffee Cold	Galt MacDermot	1/01/00	80	44	68	-12	50	03:26	36	62	JAZZ
Autumn Leaves	Chet Baker	23/04/10	93	63	50	-10	61	07:04	78	60	JAZZ
In A Sentimental Mood	Duke Ellington	1963-02	108	31	46	-12	28	04:15	94	28	JAZZ
"Moanin' - Rudy Van Gelder 24Bit Mastering; 1999 Digital Rema"	Art Blakey	1/01/99	126	49	61	-9	48	09:31	80	59	JAZZ
My One And Only Love	John Coltrane	1963	122	7	47	-18	20	04:54	98	54	JAZZ
On The Sunny Side Of The Street	Dizzy Gillespie	1/01/57	120	33	66	-13	41	05:41	53	19	JAZZ
Blue in Green	Miles Davis	17/08/59	111	2	42	-25	16	05:38	81	68	JAZZ
Remember - Remastered	Hank Mobley	1/01/99	165	40	54	-9	70	05:42	79	58	JAZZ
"Take the ""A"" Train"	Duke Ellington	14/07/08	94	28	50	-16	58	05:33	27	49	JAZZ
"Song For My Father - 1999 Digital Remaster; Rudy Van Gelder Edition"	Horace Silver	1/01/99	127	67	74	-8	59	07:18	79	58	JAZZ
My Funny Valentine	Miles Davis Quintet	1957	66	12	55	-14	32	06:01	94	18	JAZZ
Peggy's Blue Skylight - Edit	Charles Mingus	19/10/18	112	47	49	-13	61	05:34	69	32	JAZZ
Nutty	Thelonious Monk	28/09/18	172	40	48	-13	49	09:29	49	52	JAZZ
Comin' Home Baby	Herbie Mann	10/05/05	79	14	65	-23	60	08:40	75	48	JAZZ
Cool Out	Leroy Hutson	30/06/17	141	37	45	-16	13	02:59	7	19	JAZZ
April In Paris - 2007 Remaster/Rudy Van Gelder Edition	Thad Jones	1/01/07	112	22	51	-11	17	06:43	74	53	JAZZ
"Along Came Betty - Rudy Van Gelder 24Bit Mastering; 1999 Digital Rema"	Art Blakey	1/01/99	112	36	67	-9	40	06:09	80	51	JAZZ
The Sidewinder	Lee Morgan	2/11/88	151	45	49	-13	81	10:27	44	51	JAZZ
A Nightingale Sang In Berkeley Square	Stan Getz	1/01/61	96	4	43	-25	26	07:00	95	18	JAZZ
Footprints (Remastered)	Wayne Shorter	18/04/14	136	45	53	-11	49	07:30	77	50	JAZZ
Stella By Starlight	Joe Lovano	1/01/04	88	16	58	-17	45	05:48	93	50	JAZZ
Fair Weather - Remastered	Art Farmer	1958	96	20	62	-16	50	05:44	87	53	JAZZ
Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition	Stanley Turrentine	1/01/07	59	16	51	-11	20	04:55	95	58	JAZZ
When Sunny Gets Blue	McCoy Tyner	1/01/09	60	11	43	-23	11	04:42	84	26	JAZZ
A Day In The Life	Wes Montgomery	1/01/00	99	25	48	-14	37	05:55	77	16	JAZZ
Naima	John Coltrane	1960	171	1	30	-20	16	04:18	95	62	JAZZ
Midnight Special - Rudy Van Gelder Digital Remaster/2007	Jimmy Smith	1961	90	28	70	-12	32	09:57	81	52	JAZZ
Questar	Keith Jarrett	1/06/78	142	39	47	-13	34	09:10	66	48	JAZZ
From Gagarin's Point of View	Esbjörn Svensson Trio	1999	104	3	62	-21	13	04:03	56	20	JAZZ
Everything I Love	Peter Erskine	1992	96	17	37	-23	20	07:45	74	44	JAZZ
Bags' Groove - Rudy Van Gelder 2001 - Remaster	Milt Jackson	2010	88	20	63	-16	67	03:05	89	11	JAZZ
Sunday	Ben Webster	1/01/97	105	28	63	-17	86	03:57	82	22	JAZZ
Cool Struttin'	Sonny Clark	1958	109	48	58	-8	48	09:24	84	52	JAZZ
Dolphin Dance	Ahmad Jamal Trio	1970	75	24	33	-18	11	05:09	87	42	JAZZ
Alone Together	Kenny Dorham	1/01/92	61	6	34	-20	20	03:10	99	49	JAZZ
Theme for Maxine	Woody Shaw	1978	167	33	40	-13	46	07:15	61	41	JAZZ
Autumn Nocturne	Lou Donaldson	1958	124	7	54	-18	26	04:55	97	56	JAZZ
"Search For Peace - Rudy Van Gelder 24Bit Mastering; 1998 Digital Rema"	McCoy Tyner	1967	113	22	46	-17	15	06:32	94	53	JAZZ
Blue Train - Remastered 2003	John Coltrane	1958	135	49	51	-8	58	10:44	80	58	JAZZ
God Bless the Child - Remastered	Sonny Rollins	1962	102	4	49	-18	17	07:28	91	50	JAZZ
One For Majid - Live	Keith Jarrett	2/02/18	96	32	55	-19	49	06:48	66	15	JAZZ
My Foolish Heart	Bill Evans Trio	1961	118	13	40	-23	13	04:57	93	20	JAZZ
Blue Bossa - Remastered	Joe Henderson	1/01/99	82	37	53	-12	79	08:02	91	50	JAZZ
'Round Midnight	Thelonious Monk	1951	117	32	54	-10	21	03:14	91	58	JAZZ
Nature Boy	Jan Johansson	26/08/11	66	18	44	-15	6	04:44	98	47	JAZZ
Stefanie	James Moody	23/08/10	92	36	48	-14	40	04:44	89	44	JAZZ
Quiet Temple	Donald Byrd & Booker Little	1999	60	24	29	-16	8	04:43	75	45	JAZZ
All the Things You Are	Charlie Parker	1/03/02	127	12	59	-15	46	02:51	99	49	JAZZ
San Juan Sunset	Deodato	1978	94	26	60	-21	26	04:16	96	48	JAZZ
The Awakening	Ahmad Jamal Trio	1970	82	21	54	-17	12	06:21	82	41	JAZZ
Bye-Ya	Thelonious Monk	28/09/18	98	40	52	-14	63	09:41	43	47	JAZZ
Where We Used To Live	Esbjörn Svensson Trio	22/09/06	95	9	52	-18	8	04:27	88	62	JAZZ
Windows	Chick Corea	1/01/93	108	34	50	-19	47	03:12	67	47	JAZZ
Lazy Afternoon	Joe Henderson	1/01/97	53	6	29	-20	18	05:32	98	44	JAZZ
So Tender	Keith Jarrett	1983	87	30	37	-20	35	07:15	82	47	JAZZ
Enlightenment	Sun Ra	1959	130	30	50	-11	54	05:05	73	48	JAZZ
Ballad for Bernt feat. Bernt Rosengren & Krzysztof Komeda Trio	Krzysztof Komeda-Trzciński	6/05/13	102	30	34	-11	5	03:25	95	44	JAZZ
Maiden Voyage - Remastered 1999/Rudy Van Gelder Edition	Herbie Hancock	17/05/65	124	46	47	-10	18	07:57	72	55	JAZZ
Untitled Original 11383	John Coltrane	8/06/18	112	37	46	-14	61	05:41	71	50	JAZZ
Skating In Central Park	Bill Evans	1962	124	3	48	-25	15	05:24	99	59	JAZZ
Scrapple From The Apple	Charlie Parker	1/01/99	201	40	42	-12	74	02:41	98	50	JAZZ
I Guess I'll Hang My Tears Out To Dry - Rudy Van Gelder Edition/Remastered 1999	Dexter Gordon	1962	121	22	52	-9	33	05:22	91	63	JAZZ
Gypsy Blue - The Rudy Van Gelder Edition/2002 Digital Remaster	Freddie Hubbard	1/01/02	139	41	49	-10	68	06:28	72	55	JAZZ
Goodbye Pork Pie Hat	Charles Mingus	1959	87	9	36	-17	28	05:42	96	65	JAZZ
St. Thomas	Sonny Rollins	1964	111	41	61	-11	54	03:56	46	44	JAZZ
Milestones	Miles Davis	1958-04	118	55	55	-7	70	05:42	44	57	JAZZ
Lullaby Of The Leaves - 1998 Digital Remaster	Gerry Mulligan	1/01/98	125	8	44	-17	49	03:15	97	60	JAZZ
Gary's Theme - 2003 Remastered Version	Bill Evans	1977	122	8	42	-22	5	04:18	91	63	JAZZ
Hangin' with My Baby	Tower Of Power	1/06/18	109	91	70	-6	84	05:28	4	49	FUNK
The Wolf	The Spencer Lee Band	17/08/18	101	91	78	-5	67	02:55	9	57	FUNK
If It Ain't Funky Back It Up, Pt. 1	Soopasoul	23/03/18	124	68	81	-7	91	02:33	3	45	FUNK
Bullshit Anthem	Fantastic Negrito	15/06/18	100	76	74	-6	82	03:15	11	46	FUNK
Tequila	Brother Strut	29/05/18	150	73	63	-8	63	03:54	1	43	FUNK
You're Gone	Smoove & Turrell	4/05/18	122	81	73	-7	96	03:43	2	44	FUNK
Low - Edit	Lenny Kravitz	25/05/18	106	73	80	-4	90	04:00	8	68	FUNK
Stuff	Kyle Hollingsworth	23/02/18	90	69	73	-6	69	04:47	6	42	FUNK
Ring That Belle	Funk You	1/09/18	100	68	45	-7	14	06:32	1	41	FUNK
Do It with Soul	Tower Of Power	1/06/18	104	90	77	-6	88	03:53	15	43	FUNK
Shahryar's Rage	The Heavy Pets	23/02/18	108	91	70	-11	88	05:11	58	40	FUNK
Shahryar's Rage	The Heavy Pets	9/12/17	108	91	70	-11	88	05:11	58	39	FUNK
New York City	Miroslav Vitous	16/02/18	133	87	64	-9	86	09:31	1	39	FUNK
All This Love That I'm Giving	Orgone	2/02/18	110	95	68	-4	86	04:35	67	41	FUNK
Destiny N Stereo	Chris Dave and The Drumhedz	8/12/17	96	68	72	-8	68	03:49	10	38	FUNK
New York Beat (feat. Lucinda Slim)	The Haggis Horns	3/11/17	112	80	78	-6	97	04:55	36	40	FUNK
Devon	Run N' Fly	10/11/17	104	72	77	-8	55	04:41	28	37	FUNK
Stop	Tower Of Power	1/06/18	98	83	71	-7	89	04:25	23	41	FUNK
Nlfu Funk	Nils Landgren Funk Unit	9/06/17	100	72	81	-7	84	05:23	15	39	FUNK
Get Away	Alissia	30/10/17	95	73	74	-6	69	04:18	11	45	FUNK
Dance Or Die	Brooklyn Funk Essentials	13/11/15	108	93	81	-6	83	04:57	11	42	FUNK
Doc	Pigeons Playing Ping Pong	13/10/17	102	82	76	-5	91	03:30	1	24	FUNK
Black Hole	Chris Dave and The Drumhedz	19/01/18	104	84	68	-8	47	04:34	0	37	FUNK
Badass Girlz	Proleter	19/05/17	96	79	69	-4	79	04:18	1	41	FUNK
East Bay! Oakland Style!	Tower Of Power	1/06/18	127	99	65	-8	71	01:16	1	40	FUNK
Pick Up On Your Line	Jurassik Funk	10/01/10	114	69	70	-6	80	04:46	12	46	FUNK
Bull's Eye	Blacknuss	12/05/16	110	66	79	-7	91	05:05	0	44	FUNK
Springtime	Panthurr	14/05/17	105	93	47	-7	63	01:41	14	38	FUNK
Justice	Dumpstaphunk	20/01/17	100	88	69	-6	87	04:32	0	40	FUNK
World Gone Crazy - Single Edit	The Haggis Horns	6/10/17	93	74	69	-5	77	03:31	61	38	FUNK
24K Magic	Bruno Mars	7/10/16	107	80	82	-4	63	03:46	3	72	FUNK
Cloud 9	Jamiroquai	10/02/17	115	69	88	-8	43	03:57	40	4	FUNK
Soul Sound System	D/troit	31/03/17	188	87	39	-5	85	03:36	0	3	FUNK
Cold Trigger	Eric Benét	7/10/16	111	64	86	-4	83	04:59	11	33	FUNK
The Love You Left Behind (feat. Alecia Chakour)	Lettuce	11/11/16	93	88	52	-6	81	03:42	0	2	FUNK
Night Time	Mr President	27/01/17	115	78	85	-9	82	06:43	9	9	FUNK
Janxta Funk!	Pimps of Joytime	29/05/12	98	81	77	-6	71	04:17	1	4	FUNK
Time For Love	Mayer Hawthorne	28/10/16	111	65	76	-6	84	03:34	24	50	FUNK
Take It Back (feat. Doc Brown)	The Haggis Horns	3/11/17	104	71	89	-5	97	03:32	15	42	FUNK
Back to the Funkture	Alissia	16/02/16	99	88	65	-5	67	04:01	1	2	FUNK
I Thank You	Robert Randolph & The Family Band	11/11/16	116	88	64	-4	68	04:16	5	35	FUNK
Serpentine Fire (feat. Philip Bailey, Verdine White, and Ralph Johnson)	Nathan East	9/12/16	139	81	74	-5	49	05:12	7	36	FUNK
Just Say Nothing (feat. Vanessa Haynes)	Incognito	24/06/16	110	90	78	-7	78	04:41	3	22	FUNK
Pacified	Soul Scratch	1/07/16	124	90	66	-7	86	03:20	7	35	FUNK
How Did I Live Before Your Love	Jamie Lidell	14/10/16	160	56	65	-7	72	03:23	9	42	FUNK
Get Ready	Brian Culbertson	30/09/16	95	91	73	-4	72	05:28	4	40	FUNK
Oooh	Mothers Favorite Child	11/11/16	118	80	75	-7	50	02:59	9	1	FUNK
Let's Get Back Together	Matti Roots	29/07/16	103	75	77	-8	95	03:09	11	2	FUNK
Love and Only	Brother Strut	8/04/16	115	89	63	-6	66	03:40	2	37	FUNK
Gotta Get Funky	Doctorfunk	28/10/03	205	78	55	-5	93	03:36	9	38	FUNK
House Party	Nils Landgren Funk Unit	31/08/07	104	73	80	-7	89	05:05	27	48	FUNK
Follow Me (feat. Dominic Lalli)	Van Ghost	19/08/16	114	91	66	-6	73	05:34	5	34	FUNK
Flow with It (You Got Me Feeling Like)	St. Paul & The Broken Bones	15/07/16	90	75	61	-5	83	03:17	29	2	FUNK
Paint The Toon (feat. Connie Lush)	6ix Toys	10/11/08	119	97	78	-4	90	05:08	3	43	FUNK
Fencewalk	Ana Popovic	20/05/16	107	79	66	-5	89	04:22	3	36	FUNK
I'll Be There - Single Version	CHIC	20/03/15	125	83	86	-4	80	03:38	13	47	FUNK
Go Robot	Red Hot Chili Peppers	17/06/16	131	65	85	-6	96	04:24	4	66	FUNK
A Message from the Meters	The Sure Fire Soul Ensemble	1/07/16	158	96	69	-4	80	03:06	6	34	FUNK
Part Time Lover	The Pb Underground	18/06/13	122	93	74	-5	60	04:38	8	37	FUNK
Don't Call	The Jeromes	16/10/15	112	74	78	-7	75	03:37	43	33	FUNK
Sing a Simple Song	Boston Horns	17/05/12	104	91	65	-4	83	04:08	13	34	FUNK
Day Or Night	Incognito	13/05/14	95	82	69	-6	65	03:05	6	20	FUNK
Water (feat. Grooveline Horns, Reggie Watkins, Fernando Castillo, Carlos Sosa)	Dumpstaphunk	1/10/13	105	78	79	-5	87	04:36	8	37	FUNK
Get Down Baby	Excellent Gentlemen	18/05/09	101	46	78	-6	73	03:50	4	44	FUNK
Future Funk - Radio Edit	Nicky Romero	26/02/16	120	87	72	-4	55	03:17	1	37	FUNK
Sweet Feet	Orgone	1/12/15	122	72	77	-8	84	03:50	3	36	FUNK
Body Party	Pimps of Joytime	14/04/15	97	88	68	-6	84	04:03	1	36	FUNK
Hot Damn!	The Haggis Horns	1/10/07	106	83	67	-8	87	04:32	6	49	FUNK
Better Than Gold	Danny Gokey	23/06/14	112	89	69	-5	86	04:18	5	4	FUNK
Long Weekend	Trombone Shorty	1/01/13	106	75	74	-5	74	04:08	1	5	FUNK
Get Serious Get a Job	Nils Landgren Funk Unit	30/04/14	108	48	91	-9	72	04:54	18	35	FUNK
Say Goodbye (feat. Fanny Franklin)	Orgone	16/07/13	105	91	77	-4	70	04:34	13	37	FUNK
Done Me Wrong	Deep Street Soul	11/03/16	116	74	70	-5	90	04:01	7	33	FUNK
Two to Tango	Boukou Groove	4/05/12	174	66	67	-6	60	04:57	20	35	FUNK
Do It Like You Do	Lettuce	5/06/12	95	53	75	-9	84	04:11	31	50	FUNK
Do U Want It?	Papa Grows Funk	27/03/12	112	85	81	-6	92	04:50	23	47	FUNK
Freedom	Soulive	2005	125	87	77	-4	86	04:41	6	41	FUNK
Cook It	Cookin' On 3 Burners	1/10/07	111	91	73	-4	89	03:50	32	3	FUNK
Major C	All Good Funk Alliance	1/05/06	101	98	88	-6	80	03:22	4	36	FUNK
Do The 45	Ryan Shaw	2007	132	77	63	-5	88	02:15	0	34	FUNK
Hopeful	Electro Deluxe	2007	88	76	69	-5	70	04:32	22	39	FUNK
Kick Out The Jams featuring Tia Hunter	Deep Street Soul	16/11/09	127	86	60	-6	75	03:05	1	34	FUNK
Miss Madison	Phat Phunktion	28/07/11	89	65	82	-5	69	03:30	21	38	FUNK
Working Woman	Gizelle Smith	19/10/09	102	95	72	-4	88	03:08	28	1	FUNK
True To Myself	Ridin Thumb	1/01/07	112	85	58	-7	80	06:04	17	34	FUNK
It Is What It Is	Strokeland Superband	16/10/07	110	89	84	-5	87	05:38	13	33	FUNK
T.C.B. or T.Y.A.	Edwin McCain	24/06/08	104	96	74	-2	83	03:39	25	45	FUNK
High Time	Ole Børud	7/06/11	107	78	85	-5	95	03:22	6	45	FUNK
Sheez Music	Dumpstaphunk	11/11/10	205	83	58	-5	84	04:48	2	44	FUNK
Double Header	Lettuce	10/12/15	90	82	66	-7	74	05:27	1	2	FUNK
Devil (20Syl Remix) [Bonus Track]	Electro Deluxe	15/09/14	100	70	70	-6	41	03:57	6	2	FUNK
Savior	Rise Against	1/01/08	112	93	55	-3	48	04:02	0	73	DECENNIES
Fake It	Seether	1/01/07	132	95	62	-4	59	03:14	0	74	DECENNIES
No One Knows	Queens of the Stone Age	1/01/02	170	58	51	-5	69	04:39	4	71	DECENNIES
Dance, Dance	Fall Out Boy	1/01/05	114	96	62	-3	52	03:00	0	76	DECENNIES
The Pretender	Foo Fighters	25/09/07	173	96	43	-4	37	04:29	0	78	DECENNIES
Uprising	Muse	10/09/09	128	91	60	-4	41	05:05	0	77	DECENNIES
I Hate Everything About You	Three Days Grace	25/12/07	89	83	50	-5	45	03:51	0	75	DECENNIES
Feel Good Inc	Gorillaz	23/05/05	139	71	82	-7	77	03:43	1	82	DECENNIES
Wasting My Time	Default	1/01/01	148	77	44	-6	17	04:29	0	42	DECENNIES
Last Resort	Papa Roach	1/01/00	91	89	59	-4	73	03:20	0	36	DECENNIES
I Write Sins Not Tragedies	Panic! At The Disco	27/09/05	170	80	57	-5	64	03:08	9	77	DECENNIES
Chop Suey!	System Of A Down	4/09/01	127	93	42	-4	30	03:30	0	69	DECENNIES
Blurry	Puddle Of Mudd	2001	157	93	44	-4	44	05:04	1	66	DECENNIES
Seven Nation Army	The White Stripes	31/03/03	124	47	75	-8	30	03:52	1	81	DECENNIES
Take Me Out	Franz Ferdinand	16/02/04	105	66	28	-9	53	03:57	0	73	DECENNIES
Clint Eastwood	Gorillaz	26/03/01	168	69	66	-9	52	05:41	2	76	DECENNIES
